SOA,Education Skills and Training Domain Rank,Proportion of pupils attending Special Schools or attending primary school with Special Education Needs Stages 3-5 (Rank),Absenteeism at Primary Schools (Rank),Proportion of school leavers not achieving at least five GCSEs at English and Maths (Rank),Proportion of those leaving school aged 16 17 and 18 not entering Education Employment or Training (Rank),Proportion of 18-21 year olds who have not enrolled in Higher Education Courses at Higher Education or Further Education establishments (Rank),Proportion of pupils attending Special Schools or who are attending post-primary schools with Special Education Needs Stages 3-5 (Rank),Absenteeism at post-primary schools (Rank),Proportion of working age adults (25-64) with no or low levels of qualification (Rank),Proportion of pupils attending Special Schools or attending primary school with Special Education Needs Stages 3-5 (%),Absenteeism at Primary Schools (% of possible attendance),Proportion of school leavers not achieving five or more GCSEs (and equivalent) incl. English and Maths (%),Proportion of those leaving school aged 16 17 and 18 not entering Education Employment or Training (%),Proportion of 18-21 year olds who have not enrolled in Higher Education Courses at Higher or Further Education establishments (%),Proportion of pupils attending Special Schools or who are attending post-primary schools with Special Education Needs Stages 3-5 (%),Absenteeism at post-primary schools (% of possible attendance),Proportions of working age adults (25-64) with no or low levels of qualification (%)
Pennyburn 1,620,582,278,794,452,665,609,638,476,7.7,5.1,16.2,2.3,56,6.7,5.3,34.6
Pennyburn 2,812,480,632,878,608,864,673,624,734,8.5,3.7,3.8,1.4,42.3,6.1,5.4,24.6
Plumbridge,589,285,846,559,674,662,334,536,332,10.2,2.9,27.6,1.1,56.2,9.2,5.8,39.8
Poleglass 1,40,117,71,95,65,85,30,46,39,12.6,6.7,56,7.4,81.2,17.4,10.5,59
Poleglass 2,329,311,132,453,444,554,117,306,443,10,6,32.2,2.3,59.8,13.5,7.3,36.1
Pomeroy,318,72,550,379,329,506,181,387,209,14.2,3.9,35.5,3.1,61.2,11.9,6.6,44.1
Portaferry 1,398,347,316,307,575,551,241,457,581,9.6,4.9,38.9,1.6,59.8,10.8,6.2,31.1
Portaferry 2,246,2,337,298,509,422,92,365,228,19.8,4.8,39.5,2,63.6,14.2,6.8,43.2
Portavogie 1,208,659,210,149,384,415,579,105,196,7.1,5.5,50.9,2.7,63.8,7,9.4,44.9
Portavogie 2,419,280,537,360,592,288,484,448,590,10.3,4,36.2,1.5,68.8,7.8,6.3,30.5
Portglenone 1,633,585,754,400,670,435,708,780,530,7.7,3.3,34.3,1.1,63.1,5.7,4.6,32.7
Portglenone 2,489,693,719,645,482,381,149,349,434,6.7,3.4,23.8,2.1,65,12.5,6.8,36.2
Portora,407,381,355,562,761,411,81,355,538,9.3,4.7,27.4,0.6,64.2,14.6,6.8,32.4
Portstewart,445,878,187,126,311,842,374,435,556,3.4,5.7,52.3,3.3,45.7,8.9,6.4,31.8
Poyntz Pass,504,601,647,383,604,668,269,446,517,7.5,3.6,35.3,1.4,55.9,10.3,6.3,33.3
Princetown,849,872,856,820,624,844,638,785,860,3.5,2.9,13.7,1.3,45.5,6.4,4.6,16
Quilly,821,698,826,693,533,808,825,849,751,6.6,3.1,21.2,1.8,48.7,4.2,3.9,24
Quoile 1,217,11,183,300,224,260,19,335,411,18.7,5.7,39.4,4.2,70.1,18.7,7,36.8
Quoile 2,759,35,643,792,395,792,170,778,806,16.3,3.6,16.3,2.7,49.9,12.1,4.6,20.8
Randalstown 1,514,723,475,308,556,451,741,606,583,6.3,4.2,38.9,1.7,62.8,5.5,5.5,31
Randalstown 2,524,794,630,339,611,322,787,561,557,5.5,3.7,37.2,1.4,67.1,4.9,5.7,31.8
Rathbrady,376,372,305,239,866,712,540,252,409,9.4,5,43.8,0,54.2,7.3,7.8,37
Rathfriland,288,501,318,334,613,222,491,282,292,8.3,4.9,37.3,1.4,72.2,7.7,7.5,40.9
Rathgael,453,841,511,464,495,329,654,280,548,4.7,4,31.5,2,66.9,6.3,7.5,32.1
Ravenhill 1,862,606,792,852,724,801,731,854,882,7.5,3.2,10,0.8,49.3,5.5,3.9,10.4
Ravenhill 2,519,198,418,682,363,285,709,341,797,11.4,4.4,21.9,2.9,68.9,5.7,6.9,21.3
Ravenhill 3,323,58,258,311,335,274,253,177,827,14.9,5.2,38.7,3.1,69.4,10.6,8.5,19
Rich Hill 1,706,817,502,649,877,700,719,617,653,5.2,4.1,23.4,0,54.7,5.6,5.4,28.5
Rich Hill 2,568,757,650,357,870,708,607,439,451,6.1,3.6,36.3,0,54.3,6.7,6.3,35.7
Ringsend,556,719,578,413,560,687,470,582,437,6.4,3.8,33.8,1.7,55.3,7.9,5.6,36.2
Roeside,277,320,341,457,475,154,331,302,257,9.9,4.8,31.8,2.2,76.1,9.3,7.3,42.1
Rosemount,245,715,92,438,147,193,341,219,302,6.4,6.4,32.8,5.4,74.1,9.2,8.1,40.4
Rosetta 1,860,597,811,868,709,830,412,851,875,7.6,3.1,6.1,0.9,46.8,8.5,3.9,12.1
Rosetta 2,753,177,656,807,62,405,105,862,830,11.7,3.6,14.9,7.5,64.3,13.8,3.8,18.2
Rosetta 3,870,475,852,876,793,858,534,847,871,8.5,2.9,4.3,0.1,43.8,7.3,4,13.7
Rosslea,495,84,610,642,507,709,175,563,220,13.9,3.7,23.8,2,54.3,12,5.7,43.8
Rossorry,336,98,493,164,401,653,75,347,546,13.1,4.1,49.9,2.6,56.5,14.8,6.9,32.2
Rostrevor,560,610,359,367,834,767,796,369,634,7.4,4.7,35.9,0,51.6,4.8,6.7,29.3
Rostulla 1,463,449,559,518,177,277,278,482,657,8.7,3.9,29.3,4.9,69.3,10.1,6.1,28.4
Rostulla 2,767,836,839,802,710,22,481,701,881,4.8,3,15.7,0.9,87.9,7.9,5.1,10.7
Route,384,155,548,356,637,317,653,524,298,11.9,3.9,36.4,1.3,67.6,6.3,5.9,40.6
Royal Portrush,348,459,279,363,324,429,329,354,462,8.6,5.1,36.1,3.2,63.4,9.3,6.8,35.2
Saintfield 1,756,707,871,659,835,501,164,766,682,6.5,2.7,23,0,61.4,12.2,4.7,27.1
Saintfield 2,828,404,867,756,839,788,428,832,824,9.1,2.8,18.7,0,50.2,8.3,4.1,19.3
Sandholes,523,774,525,472,706,298,844,640,340,5.8,4,30.9,1,68.3,3.8,5.3,39.6
Scrabo 1,116,607,236,37,338,95,86,118,217,7.5,5.3,65.9,3.1,80.7,14.4,9.3,43.8
Scrabo 2,79,231,195,84,473,56,128,78,87,10.9,5.6,58,2.2,84.4,13.1,9.8,51.3
Seacon,464,586,691,333,625,388,474,518,421,7.7,3.5,37.4,1.3,64.8,7.9,5.9,36.7
Seaforde,477,565,588,336,705,366,82,544,663,7.8,3.8,37.3,1,65.5,14.6,5.8,28.1
Seapatrick,731,712,708,688,543,776,648,674,645,6.5,3.5,21.4,1.8,51,6.4,5.2,28.8
Seaview 1,830,791,392,861,848,704,887,825,801,5.6,4.5,8,0,54.5,2,4.2,21.2
Seaview 2,349,373,155,477,259,533,785,221,417,9.3,5.9,30.8,3.8,60.4,4.9,8.1,36.7
Seymour Hill,279,629,453,234,197,207,43,358,435,7.3,4.3,44,4.5,73.3,16.7,6.8,36.2
Shaftesbury 1,104,294,69,98,163,30,199,110,358,10.1,6.7,55.6,5.1,87,11.6,9.4,38.8
Shaftesbury 2,72,22,65,203,131,60,230,33,235,17.4,6.8,46.9,5.6,84.1,10.9,10.8,43
Shaftesbury 3,16,19,21,10,297,2,46,126,129,17.6,7.7,72.6,3.4,93.5,16.4,9.1,48.1
Shankill 1,7,12,7,16,92,12,223,59,12,18.5,8.3,70.1,6.4,89.7,11.1,10.2,65.1
Shankill 2,4,1,8,23,50,18,21,56,24,19.9,8.2,68.8,8.4,88.8,18.7,10.2,61.6
Shantallow East,179,510,61,390,277,323,249,125,72,8.3,6.9,35,3.7,67.1,10.6,9.1,53.5
Shantallow West 1,87,273,63,212,513,164,127,61,41,10.4,6.8,45.8,2,75.7,13.1,10.1,58.8
Shantallow West 2,108,569,142,186,326,178,165,101,23,7.8,6,48.1,3.2,74.9,12.2,9.5,61.6
Shantallow West 3,135,113,54,261,207,310,243,152,85,12.7,7,42,4.4,67.9,10.8,8.8,51.5
Shantallow West 4,430,286,98,576,332,765,437,398,464,10.2,6.4,27,3.1,51.7,8.3,6.6,35
Shilvodan,739,542,771,748,764,630,387,702,710,8,3.3,19,0.6,57.2,8.7,5.1,25.8
Shimna,481,249,384,567,643,470,139,466,648,10.6,4.5,27.3,1.3,62.3,12.8,6.2,28.8
Silver Bridge 1,491,731,467,376,759,475,837,447,407,6.3,4.2,35.7,0.6,62.2,4,6.3,37.1
Silver Bridge 2,689,699,565,618,880,645,625,704,587,6.6,3.9,25.5,0,56.8,6.6,5.1,30.9
Silverstream,237,279,308,237,238,177,408,123,544,10.3,5,43.8,4,74.9,8.6,9.1,32.3
Sion Mills,207,245,150,177,743,331,807,211,80,10.7,5.9,48.6,0.7,66.7,4.6,8.2,52.3
Sixmilecross,533,468,745,372,657,553,705,599,341,8.5,3.3,35.7,1.2,59.8,5.8,5.5,39.5
Slemish,811,825,787,863,656,574,868,770,620,5.1,3.2,7.5,1.2,59.2,2.9,4.6,29.7
Slievekirk,462,374,729,380,516,347,824,577,229,9.3,3.4,35.4,1.9,66.1,4.2,5.6,43.2
South 1,227,415,83,427,265,369,623,137,184,9,6.5,33.4,3.8,65.5,6.6,9,45.6
South 2,406,326,437,397,420,695,809,251,374,9.8,4.3,34.7,2.5,54.9,4.6,7.8,38.2
Spelga,510,662,531,489,788,420,660,514,438,7,4,30.3,0.4,63.7,6.2,5.9,36.1
Springfarm 1,370,714,383,267,312,245,793,301,608,6.4,4.6,41.3,3.3,70.9,4.8,7.3,30.2
Springfarm 2,89,368,216,24,241,43,261,72,339,9.4,5.4,68.8,4,85.9,10.4,9.9,39.6
Springhill 1,795,409,692,813,881,791,657,677,764,9.1,3.5,14.3,0,49.9,6.3,5.2,23.4
Springhill 2,579,451,582,414,123,536,466,680,716,8.7,3.8,33.6,5.8,60.3,8,5.2,25.5
Springtown 1,262,478,80,558,299,530,279,149,185,8.5,6.6,27.6,3.4,60.6,10.1,8.8,45.5
Springtown 2,626,467,284,713,426,812,849,462,573,8.5,5.1,20.7,2.4,48.1,3.6,6.2,31.3
St Mary's,216,167,47,243,704,226,431,383,199,11.8,7.1,43.3,1,71.9,8.3,6.6,44.8
St Patrick's 1,429,493,263,473,316,513,737,385,513,8.4,5.2,30.9,3.3,61,5.5,6.6,33.3
St Patrick's 2,314,738,180,235,479,269,630,546,225,6.2,5.7,44,2.1,69.6,6.5,5.8,43.4
Steeple,76,97,368,12,659,25,38,244,128,13.2,4.7,71.1,1.2,87.7,17.1,7.9,48.1
Stewartstown,414,464,788,286,136,432,665,497,258,8.6,3.2,40.3,5.5,63.3,6.2,6,42.1
Stiles,211,365,321,150,354,211,224,162,377,9.4,4.9,50.9,3,73.1,11.1,8.7,38
Stormont 1,890,613,886,865,869,875,877,890,877,7.4,2.4,6.8,0,38.3,2.7,2.3,11.4
Stormont 2,887,831,753,858,876,865,865,888,884,4.9,3.3,8.9,0,42.2,3.1,2.9,9.6
Stormont 3,832,760,845,779,879,526,882,786,853,6,2.9,17.1,0,60.7,2.5,4.6,16.4
Strand 1 (Coleraine LGD),840,554,600,822,627,827,582,875,855,7.9,3.8,13.3,1.3,47.1,7,3.5,16.2
Strand 1 (Derry LGD),203,781,121,481,547,37,541,155,125,5.7,6.2,30.6,1.8,86.7,7.3,8.8,48.3
Strand 2 (Coleraine LGD),848,163,744,821,875,890,863,707,836,11.8,3.3,13.4,0,,3.2,5.1,17.7
Strand 2 (Derry LGD),557,834,137,188,530,889,378,410,636,4.9,6,47.8,1.9,,8.8,6.5,29.1
Strangford,617,247,817,656,701,670,133,373,719,10.7,3.1,23,1,55.8,13,6.7,25.4
Stranmillis 1,880,673,883,871,810,876,727,837,886,6.9,2.4,5.6,0,37.1,5.5,4,8.5
Stranmillis 2,882,766,884,885,242,888,574,820,879,5.9,2.4,1.3,4,,7,4.2,10.9
Stranmillis 3,889,736,878,890,802,880,652,863,887,6.2,2.5,0.2,0,28.8,6.3,3.8,8.3
Stranmillis 4,877,535,876,882,667,855,562,841,885,8.1,2.5,2.8,1.1,44.2,7.1,4,8.7
Stranocum,616,888,808,534,685,367,803,601,318,2.4,3.1,28.5,1.1,65.5,4.6,5.5,39.9
Strule,231,123,184,181,351,389,94,285,389,12.5,5.7,48.3,3,64.8,14.1,7.5,37.6
Summerfield,543,690,287,624,115,385,810,594,600,6.7,5,25.1,5.9,64.9,4.5,5.5,30.4
Sunnylands,83,566,30,280,217,125,244,14,142,7.8,7.3,40.7,4.3,78.3,10.7,11.6,47.6
Swatragh 1,742,670,612,789,599,802,619,737,498,6.9,3.7,16.5,1.5,49.3,6.6,4.9,33.8
Swatragh 2,725,488,759,695,859,414,815,824,441,8.4,3.3,21.2,0,63.8,4.5,4.2,36.1
Sydenham 1,171,147,167,82,138,120,554,290,230,12,5.8,58.3,5.5,78.7,7.2,7.4,43.2
Sydenham 2,287,498,522,189,649,262,313,215,430,8.3,4,47.7,1.2,70,9.6,8.1,36.3
Sydenham 3,232,207,156,396,569,124,642,92,454,11.3,5.9,34.8,1.6,78.4,6.4,9.6,35.5
Taghnevan,239,304,272,201,249,208,608,299,255,10,5.1,46.9,3.9,73.2,6.7,7.3,42.2
Tandragee,312,559,575,253,262,396,472,196,373,7.9,3.8,42.7,3.8,64.6,7.9,8.3,38.2
Tavanagh,93,45,280,66,344,128,190,96,94,15.6,5.1,60.6,3,78.2,11.7,9.5,50.7
Templepatrick,803,494,802,811,616,849,724,643,784,8.4,3.2,14.5,1.4,44.9,5.6,5.3,22.1
Tempo,431,401,680,452,851,430,219,394,306,9.2,3.6,32.3,0,63.4,11.1,6.6,40.3
Termon,632,370,667,488,887,750,816,592,369,9.4,3.6,30.4,0,52.4,4.4,5.6,38.4
The Birches 1,537,732,395,532,741,575,505,445,586,6.3,4.5,28.5,0.8,59.2,7.6,6.3,30.9
The Birches 2,496,587,552,395,140,702,713,513,372,7.7,3.9,34.8,5.5,54.5,5.7,5.9,38.2
The Cut,184,69,245,159,216,196,160,308,164,14.3,5.3,50,4.3,74,12.3,7.3,46.6
The Cuts 1,528,530,654,437,69,413,519,600,662,8.1,3.6,32.9,7.2,64,7.5,5.5,28.1
The Cuts 2,344,754,422,192,398,461,159,415,397,6.1,4.4,47.5,2.6,62.6,12.3,6.5,37.3
The Diamond,152,358,152,264,67,283,357,71,118,9.5,5.9,41.8,7.4,69,9,9.9,48.9
The Highlands,511,549,853,585,478,465,240,576,148,7.9,2.9,26.7,2.1,62.6,10.8,5.6,47.1
The Loop,494,562,146,335,519,768,268,755,366,7.8,5.9,37.3,1.9,51.6,10.3,4.8,38.5
The Mall,292,654,196,412,644,272,479,268,248,7.1,5.6,34,1.2,69.6,7.9,7.6,42.5
The Mount 1,8,59,14,43,289,3,66,4,98,14.9,7.9,64.4,3.5,92.7,15,13,50.6
The Mount 2,6,196,6,61,179,1,24,8,115,11.5,8.3,61.5,4.8,93.6,18,12,49.1
The Vow,584,364,728,627,362,586,497,608,401,9.4,3.4,25,2.9,58.7,7.7,5.5,37.2
Tobermore,640,749,638,519,631,654,861,726,300,6.2,3.7,29.3,1.3,56.5,3.2,4.9,40.4
Tollymore 1,437,667,382,538,570,525,140,382,456,7,4.6,28.3,1.6,60.7,12.8,6.6,35.4
Tollymore 2,638,581,620,749,605,640,242,551,577,7.7,3.7,19,1.4,57,10.8,5.8,31.1
Tonagh,180,248,158,228,149,144,228,212,192,10.7,5.9,44.2,5.4,77.1,10.9,8.2,45.2
Toome,465,540,816,343,331,514,598,433,301,8.1,3.1,37,3.1,61,6.8,6.4,40.4
Town Parks,307,344,356,420,256,237,451,331,324,9.6,4.7,33.5,3.8,71.3,8.1,7,39.9
Town Parks East 1,352,486,417,259,505,362,394,441,387,8.4,4.4,42.2,2,65.6,8.7,6.3,37.7
Town Parks East 2,221,447,78,179,462,492,227,325,166,8.8,6.6,48.5,2.2,61.7,11,7.1,46.5
Town Parks West,396,265,251,224,296,541,502,722,381,10.4,5.3,44.5,3.4,60.2,7.6,4.9,37.8
Trillick,737,833,869,731,758,601,546,679,426,4.9,2.7,19.6,0.7,58.2,7.3,5.2,36.5
Tullagh,422,367,271,552,108,625,726,459,321,9.4,5.1,27.8,6,57.3,5.6,6.2,39.9
Tullycarnet,74,156,94,47,358,58,77,193,102,11.9,6.4,63.7,2.9,84.2,14.7,8.3,50.1
Tullyhappy,561,641,705,493,648,481,720,478,490,7.2,3.5,30.2,1.2,62,5.6,6.1,34
Twinbrook 1,70,33,55,89,372,102,25,217,54,16.4,7,57.5,2.8,80.4,18,8.1,56.6
Twinbrook 2,112,125,177,156,89,166,13,330,31,12.4,5.7,50.1,6.5,75.5,19.7,7,60.4
University,188,421,490,105,126,24,527,293,242,9,4.1,54.8,5.7,87.7,7.4,7.4,42.8
Upper Braniel,466,782,443,508,421,328,442,455,531,5.7,4.3,29.8,2.5,66.9,8.2,6.3,32.7
Upper Glenshane,497,353,528,485,773,613,697,511,284,9.5,4,30.5,0.5,57.8,5.8,6,41.1
Upper Malone 1,878,790,868,874,811,877,556,873,869,5.6,2.7,4.6,0,36.7,7.1,3.6,14.4
Upper Malone 2,51,148,43,94,52,34,48,97,73,12,7.1,56.2,8.2,86.8,16.3,9.5,53.2
Upper Malone 3,708,431,428,847,609,784,691,437,695,8.9,4.3,10.4,1.4,50.3,5.9,6.3,26.4
Upper Springfield 1,65,51,74,87,55,143,16,281,27,15,6.6,57.8,8.1,77.2,19.6,7.5,61.4
Upper Springfield 2,77,57,139,86,63,150,31,257,37,14.9,6,57.8,7.5,76.4,17.4,7.7,59.5
Upper Springfield 3,23,102,164,34,32,68,6,87,5,13.1,5.8,66.1,9.5,83.5,22.4,9.7,67
Upperlands,562,441,685,498,678,521,799,683,232,8.8,3.5,30.1,1.1,60.8,4.7,5.1,43.1
Valley,549,661,430,529,782,592,573,651,315,7,4.3,28.6,0.5,58.6,7,5.3,40
Valley 1,214,26,89,369,293,335,207,238,283,16.8,6.4,35.9,3.5,66.6,11.4,7.9,41.2
Valley 2,75,188,248,115,171,13,155,127,89,11.6,5.3,53.2,5,89.4,12.4,9.1,51.2
Victoria (Carrickfergus LGD),375,764,290,382,101,302,526,298,649,5.9,5,35.3,6.2,68.1,7.4,7.3,28.7
Victoria (Derry LGD),212,491,235,274,388,200,251,195,189,8.4,5.3,41.1,2.7,73.8,10.6,8.3,45.3
Victoria Bridge,290,579,460,337,638,358,440,264,134,7.7,4.2,37.3,1.3,65.8,8.2,7.6,48
Wallace Park 1,660,788,616,720,812,96,496,700,781,5.6,3.7,20.2,0,80.7,7.7,5.1,22.4
Wallace Park 2,820,602,748,805,744,794,616,764,852,7.5,3.3,15.2,0.7,49.7,6.6,4.7,16.4
Waringstown 1,715,429,786,721,746,681,271,613,717,8.9,3.2,20.1,0.7,55.5,10.3,5.4,25.4
Waringstown 2,817,512,857,790,485,833,628,774,748,8.2,2.9,16.4,2.1,46.4,6.6,4.6,24.1
Washing Bay,581,403,597,435,860,656,340,666,445,9.1,3.8,32.9,0,56.4,9.2,5.2,35.9
Water Works 1,26,24,28,33,41,48,259,34,78,17.2,7.4,66.6,9,85.3,10.4,10.8,52.5
Water Works 2,63,183,32,116,145,127,220,100,47,11.6,7.3,53.2,5.4,78.3,11.1,9.5,57.4
Water Works 3,123,63,289,123,155,59,71,156,252,14.6,5,52.5,5.2,84.2,14.9,8.7,42.2
Waterside,773,649,670,503,595,847,299,816,785,7.1,3.6,30,1.5,45.1,9.8,4.2,22
West 1,244,539,200,265,261,359,762,191,173,8.1,5.6,41.5,3.8,65.7,5.2,8.3,46.2
West 2,234,189,144,281,453,486,413,200,200,11.6,6,40.7,2.3,61.8,8.5,8.2,44.7
Westland,167,256,120,320,31,453,577,65,84,10.5,6.2,38.3,9.5,62.8,7,10,51.5
Whitehead,713,801,608,625,231,729,714,633,774,5.4,3.7,25.1,4.2,53.5,5.7,5.4,22.6
Whitehill,134,469,201,76,206,129,315,84,308,8.5,5.6,59,4.4,78.1,9.5,9.7,40.2
Whitehouse,111,111,332,205,411,174,59,29,113,12.8,4.8,46.5,2.6,75.1,15.6,10.9,49.2
Whiterock 1,154,621,175,302,185,159,33,232,36,7.4,5.7,39.1,4.7,76,17.4,8,59.7
Whiterock 2,5,3,10,25,125,78,29,74,2,19.8,8.1,68.7,5.7,82.3,17.7,9.9,70.9
Whiterock 3,29,346,169,3,88,121,40,248,3,9.6,5.8,75,6.5,78.6,16.8,7.8,69.8
Whitespots 1,732,716,507,753,882,611,806,621,703,6.4,4.1,18.9,0,57.8,4.6,5.4,26.1
Whitespots 2,600,87,687,269,846,698,659,564,760,13.5,3.5,41.3,0,54.8,6.2,5.7,23.8
Windsor 1,847,880,702,854,590,856,801,673,876,3.2,3.5,9.7,1.5,44.1,4.6,5.2,12
Windsor 2,796,194,478,654,275,883,889,566,872,11.5,4.2,23.1,3.7,,1,5.7,13.1
Windsor 3,409,865,81,119,71,882,281,165,798,3.9,6.5,53.1,7.1,,10.1,8.6,21.3
Windsor 4,359,242,64,18,9,761,661,720,780,10.7,6.8,69.8,11.9,52.1,6.2,4.9,22.4
Windsor Hill 1,765,553,386,717,559,835,742,732,789,7.9,4.5,20.5,1.7,46.3,5.5,4.9,21.8
Windsor Hill 2,291,456,190,350,612,170,142,490,333,8.6,5.7,36.6,1.4,75.3,12.8,6,39.8
Woodburn,518,743,374,531,144,651,684,396,631,6.2,4.6,28.5,5.4,56.6,6,6.6,29.4
Woodstock 1,88,181,17,271,193,63,270,42,246,11.7,7.8,41.2,4.6,83.9,10.3,10.6,42.6
Woodstock 2,52,175,44,54,165,20,204,80,106,11.7,7.1,62.5,5.1,88.2,11.5,9.8,49.5
Woodstock 3,28,41,20,20,328,29,87,28,218,16,7.7,69.5,3.2,87.3,14.4,10.9,43.8
Woodvale 1,2,64,36,9,154,7,22,16,35,14.5,7.2,73,5.2,91.2,18.6,11.5,60
Woodvale 2,3,31,29,5,23,17,50,36,33,16.5,7.4,74.9,10,89,16.2,10.8,60
Woodvale 3,12,274,5,7,170,9,90,180,19,10.4,8.4,74,5,90.4,14.3,8.4,63.4
Woodville 1,21,88,52,4,181,126,273,12,101,13.4,7.1,75,4.8,78.3,10.2,11.8,50.3
Woodville 2,780,558,733,842,820,762,671,585,684,7.9,3.4,11.3,0,52,6.1,5.6,26.9
Wynchurch,679,398,573,741,796,598,375,528,796,9.2,3.8,19.2,0.1,58.3,8.9,5.9,21.5
